property_id,full_address,address_line1,address_line2,city,state,state_fips,zip_code,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,features,tax_assessments,property_taxes,lot_size,assessor_id,legal_description,subdivision,owner,owner_occupied
"10727-Domain-Dr,-Austin,-TX-78758","10727 Domain Dr, Austin, TX 78758",10727 Domain Dr,,Austin,TX,48,78758,Travis,453,30.393939,-97.725653,Apartment,0.0,1.0,504.0,2019.0,,,,,,,,,
"10505-S-Interstate-Hwy,-35,-Austin,-TX-78747","10505 S Interstate Hwy, 35, Austin, TX 78747",10505 S Interstate Hwy,35,Austin,TX,48,78747,Travis,453,30.149099,-97.790555,Apartment,1.0,1.0,,,,,,,,,,,
"833-Fairfield-Dr,-Austin,-TX-78758","833 Fairfield Dr, Austin, TX 78758",833 Fairfield Dr,,Austin,TX,48,78758,Travis,453,30.3558,-97.705123,Apartment,2.0,1.0,793.0,1983.0,,,,,,,,,
"11210-FM-2222,-Austin,-TX-78730","11210 FM 2222, Austin, TX 78730",11210 FM 2222,,Austin,TX,48,78730,Travis,453,30.400012,-97.850565,Apartment,,,,2014.0,,,,,,,,,
"1801-Fortview-Rd,-Austin,-TX-78704","1801 Fortview Rd, Austin, TX 78704",1801 Fortview Rd,,Austin,TX,48,78704,Travis,453,30.229807,-97.785706,Apartment,1.0,1.0,525.0,1970.0,{'unitCount': 3},,,,,,,,
"1900-Onion-Creek-Pkwy,-Austin,-TX-78748","1900 Onion Creek Pkwy, Austin, TX 78748",1900 Onion Creek Pkwy,,Austin,TX,48,78748,Travis,453,30.139759,-97.801548,Apartment,1.0,1.0,582.0,2015.0,,,,,,,,,
"6280-Mcneil-Ranch-Dr,-Austin,-TX-78729","6280 Mcneil Ranch Dr, Austin, TX 78729",6280 Mcneil Ranch Dr,,Austin,TX,48,78729,Travis,453,30.442788,-97.749397,Apartment,,,,1998.0,,,,,,,,,
"2900-Century-Park-Blvd,-Austin,-TX-78727","2900 Century Park Blvd, Austin, TX 78727",2900 Century Park Blvd,,Austin,TX,48,78727,Travis,453,30.435048,-97.694611,Apartment,2.0,2.0,1026.0,2005.0,,,,,,,,,
"4800-Steiner-Ranch-Blvd,-Austin,-TX-78732","4800 Steiner Ranch Blvd, Austin, TX 78732",4800 Steiner Ranch Blvd,,Austin,TX,48,78732,Travis,453,30.383761,-97.873607,Apartment,1.0,1.0,670.0,2010.0,,,,,,,,,
"1620-E-Riverside-Dr,-Austin,-TX-78741","1620 E Riverside Dr, Austin, TX 78741",1620 E Riverside Dr,,Austin,TX,48,78741,Travis,453,30.24538,-97.73035,Apartment,0.0,1.0,631.0,2010.0,,,,,,,,,
"15433-FM-1325,-Austin,-TX-78728","15433 FM 1325, Austin, TX 78728",15433 FM 1325,,Austin,TX,48,78728,Williamson,491,30.463543,-97.693504,Apartment,1.0,1.0,700.0,2016.0,,,,,,,,,
